"glottocode","iso_code","language_name","CLF","longitude","latitude","area","continent","status","family","source"
"maka1318","myh","Makah",FALSE,-124.616,48.3258,"North America","Americas","extinct","Wakashan","jacobsen_william_h_jr_first_1999"
"makc1235","mkg","Mak (China)",TRUE,107.726,25.5946,"Eurasia","Asia","shifting","Tai-Kadai",NA
"makh1261","mgh","Makhuwa-Meetto",FALSE,38.6874,-11.9553,"Africa","Africa","not endangered","Atlantic-Congo","woodward_h_w_outline_1923"
"makh1264","vmw","Makhuwa",FALSE,38.8052,-14.8509,"Africa","Africa","not endangered","Atlantic-Congo","wal_johanna_van_der_word_2009"
"makh1266","xsq","Makhuwa-Saka",TRUE,39.5323,-13.6443,"Africa","Africa","not endangered","Atlantic-Congo","katupha_preliminary_1983"
"mako1251","kde","Makonde",FALSE,39.5133,-10.9906,"Africa","Africa","not endangered","Atlantic-Congo","leach_michael_benjamin_things_2011"
"maku1246","xak","Máku",FALSE,-66.4333333333,1.35,"South America",NA,"extinct",NA,"migliazza_ernesto_c_maku_2008"
"maku1277","lva","Maku'a",FALSE,127.239,-8.40372,"Papunesia","Asia","nearly extinct","Austronesian","engelenhoven_aone_van_makuva_2006"
"makw1236","ymk","Makwe",FALSE,40.0274,-10.4673,"Africa","Africa","threatened","Atlantic-Congo","devos_maud_grammar_2007"
"mala1256","lon","Malawi Lomwe",FALSE,35.43347,-15.56729,"Africa","Africa","not endangered","Atlantic-Congo","kaunjika_david_jones_chilomwe_2006"
"mala1463","mjr","Malavedan",FALSE,77.2038,8.85517,"Eurasia","Asia","threatened","Dravidian","hyrunnisa_beegum_a_language_1991"
"mala1464","mal","Malayalam",FALSE,76.7651,9.59208,"Eurasia","Asia","not endangered","Dravidian","gamliel_ophira_jewish_2015"
"mala1479","zlm","Colloquial Malay",TRUE,103,1.85856,"Eurasia","Asia","not endangered","Austronesian",NA
"mala1481","xmm","Manado Malay",TRUE,124.843,1.48099,"Papunesia","Asia","not endangered","Austronesian","prentice_manado_1994"
"mala1522","mbp","Malayo",FALSE,-73.4056,10.9286,"South America","Americas","shifting","Chibchan","williams_cindy_grammar_1993"
"mala1533","mcm","Malacca-Batavia Portuguese Creole",TRUE,102.262059,2.188087,"Eurasia","Asia","shifting","Indo-European",NA
"mala1534",NA,"Malaweg",FALSE,NA,NA,"Papunesia",NA,NA,"Austronesian","reid_lawrence_a_malaweg_nodate"
"mala1544",NA,"Malabar-Sri Lanka Portuguese",FALSE,80.67,7.25,"Eurasia",NA,"nearly extinct","Indo-European","smith_ian_r_sri_2013"
"malb1235","bfo","Malba Birifor",FALSE,-2.90623,9.78465,"Africa","Africa","not endangered","Atlantic-Congo","franklin_lynne_birifor_nodate"
"male1284","mdy","Male (Ethiopia)",FALSE,36.9892,5.91975,"Africa","Africa","threatened","Ta-Ne-Omotic","amha_azeb_maale_2001"
"male1289","mgl","Maleu-Kilenge",FALSE,148.445,-5.61613,"Papunesia","Pacific","not endangered","Austronesian","haywood_graham_maleu_1996"
"male1292","pqm","Malecite-Passamaquoddy",FALSE,-67.40805,45.494475,"North America","Americas","shifting","Algic","ng_eve_chuen_demonstrative_2002"
"malg1242","vml","Malgana",FALSE,114.245,-26.211,"Australia","Pacific","extinct","Pama-Nyungan","gargett_salvage_2011"
"mali1284","gcc","Mali",FALSE,152.214,-4.71826,"Papunesia","Pacific","not endangered","Baining","stebbins_mali_2011"
"mali1285","tcf","Malinaltepec Me'phaa",TRUE,-98.6322,17.2122,"North America","Americas","not endangered","Otomanguean","duncan_morpho-syntax_2013"
"mall1246","mlf","Mal",TRUE,101.204,19.273,"Eurasia","Asia","not endangered","Austroasiatic",NA
"malo1243","mla","Tamambo",FALSE,167.16,-15.6835,"Papunesia","Pacific","threatened","Austronesian","jauncey_tamambo_2011"
"malp1246","mkb","Mar Paharia of Dumka",FALSE,87.3507,24.087,"Eurasia","Asia","threatened","Indo-European","dasgupta_dipankar_descriptive_1978"
"malt1254","mlt","Maltese",FALSE,14.4508,35.8884,"Eurasia","Europe","not endangered","Afro-Asiatic","borg_maltese_2012"
