Glottocode,ISO,Language_name,CLF,Longitude,Latitude,Area,Continent,Status,Family,Citation
east1472,kee,Eastern Keres,FALSE,-106.453,35.5216,North America,Americas,shifting,Keresan,NA
east2295,ydd,Eastern Yiddish,FALSE,19.42,51.75,Eurasia,Asia,not endangered,Indo-European,NA
east2304,bgp,Eastern Balochi,FALSE,62,28,Eurasia,Asia,not endangered,Indo-European,Gilbertson 1923
east2328,mhr,Eastern Mari,FALSE,48.405,55.8307,Eurasia,Europe,threatened,Uralic,NA
east2330,lwl,Eastern Lawa,TRUE,98.7613,19.0136,Eurasia,Asia,extinct,Austroasiatic,Blok 2013
east2332,bru,Eastern Bru,TRUE,105.671,17.1311,Eurasia,Asia,threatened,Austroasiatic,Miller 1964
east2333,mng,Eastern Mnong,FALSE,108.354,12.3939,Eurasia,Asia,not endangered,Austroasiatic,NA
east2337,yuy,East Yugur,FALSE,101.762,37.9882,Eurasia,Asia,threatened,Mongolic,NA
east2342,eky,Eastern Kayah,TRUE,98.3359,19.8939,Eurasia,Asia,not endangered,Sino-Tibetan,NA
east2347,taj,Eastern Tamang,TRUE,87.0832,27.3239,Eurasia,Asia,threatened,Sino-Tibetan,Lee 2011
east2352,mgp,Eastern Magar,FALSE,87.06171,27.4135166667,Eurasia,Asia,shifting,Sino-Tibetan,NA
east2357,emg,Eastern Meohang,FALSE,87.1134,27.5103,Eurasia,Asia,moribund,Sino-Tibetan,Uranw and Yadav 2009
east2379,aer,Eastern Arrernte,FALSE,135.046,-23.3583,Australia,Pacific,shifting,Pama-Nyungan,NA
east2409,nle,East Nyala,FALSE,34.6626,0.38163,Africa,Africa,not endangered,Atlantic-Congo,Ochwaya-Oluoch 2003
east2440,mky,East Makian,TRUE,127.423,0.07337,Papunesia,Asia,shifting,Austronesian,Bowden 1997
east2443,omb,East Ambae,FALSE,167.89,-15.3523,Papunesia,Pacific,not endangered,Austronesian,Hyslop 2001
east2485,pez,Eastern Penan,FALSE,114.584,4.5915,Papunesia,Asia,shifting,Austronesian,NA
east2516,kjs,East Kewa,FALSE,143.931,-6.32989,Papunesia,Pacific,not endangered,Nuclear Trans New Guinea,NA
east2534,ike,Eastern Canadian Inuktitut,FALSE,-75.6139,62.1735,North America,Americas,threatened,Eskimo-Aleut,Leonard 2015
east2538,nhe,Eastern Huasteca Nahuatl,FALSE,-97.9077,21.0639,North America,Americas,threatened,Uto-Aztecan,Beller and Beller 1979
east2542,ojg,Eastern Ojibwa,FALSE,-79.7503,45.0112,North America,Americas,shifting,Algic,Rogers 1973
east2544,aaq,Eastern Abenaki,FALSE,-68.6617,45.0112,North America,Americas,extinct,Algic,Voorhis 1979
east2545,peb,Eastern Pomo,FALSE,-122.586,38.5647,North America,Americas,extinct,Pomoan,McLendon 1975
east2563,cjm,Eastern Cham,TRUE,108.49,11.2853,Eurasia,Asia,threatened,Austronesian,NA
east2652,hae,Eastern Oromo,FALSE,41.4395,8.67428,Africa,Africa,not endangered,Afro-Asiatic,Teferi 2019
east2690,avl,Eastern Egyptian Bedawi Arabic,FALSE,33.6113,29.6742,Africa,Africa,not endangered,Afro-Asiatic,Al-Mashaqba 2015
east2694,sfe,Eastern Subanen,FALSE,NA,NA,Papunesia,NA,threatened,Austronesian,Verstraelen 1973
east2773,unknow,Eastern Newari,TRUE,NA,NA,Eurasia,NA,threatened,Sino-Tibetan,Genetti 2003
ebir1243,igb,Ebira,FALSE,7.06183,8.15516,Africa,Africa,not endangered,Atlantic-Congo,NA
ebla1238,xeb,Eblaite,FALSE,NA,NA,Eurasia,NA,extinct,Afro-Asiatic,Streck 2011
edol1239,etr,Edolo,FALSE,142.65,-6.11618,Papunesia,Pacific,not endangered,Bosavi,NA
efee1239,efe,Efe,FALSE,29.2918,1.8798,Africa,Africa,not endangered,Central Sudanic,NA
efik1245,efi,Efik,FALSE,8.38121,4.89379,Africa,Africa,not endangered,Atlantic-Congo,NA
eggo1239,ego,Eggon,FALSE,8.45686,8.71442,Africa,Africa,not endangered,Atlantic-Congo,Sibomana 1985
egyp1246,egy,Egyptian (Ancient),FALSE,30.834959,28.381735,Africa,NA,extinct,Afro-Asiatic,Neveu 2015
egyp1253,arz,Egyptian Arabic,TRUE,31,31,Africa,Africa,not endangered,Afro-Asiatic,NA
eipo1242,eip,Eipomek,FALSE,140.045,-4.33691,Papunesia,Asia,not endangered,Nuclear Trans New Guinea,Heeschen 1998
ejag1239,etu,Ejagham,TRUE,8.90959,5.54442,Africa,Africa,not endangered,Atlantic-Congo,Watters 1981
ekar1243,ekg,Ekari,TRUE,136.018,-3.88974,Papunesia,Asia,not endangered,Nuclear Trans New Guinea,Doble 1987
ekpe1253,ekp,Ekpeye,FALSE,6.53362,5.06715,Africa,Africa,not endangered,Atlantic-Congo,NA
elam1244,elx,Elamite,FALSE,48.2333,31.1833,Eurasia,NA,extinct,NA,Stolper 2008
elem1253,elm,Eleme,FALSE,7.267,4.72964,Africa,Africa,not endangered,Atlantic-Congo,Ngulube 2013
elip1238,ekm,Elip,FALSE,11.193,4.45694,Africa,Africa,not endangered,Atlantic-Congo,NA
elmo1238,elo,El Molo,FALSE,36.7619,2.79312,Africa,Africa,extinct,Afro-Asiatic,NA
elna1235,crn,El Nayar Cora,FALSE,-104.467,22.4099,North America,Americas,threatened,Uto-Aztecan,Casad 1984
emae1237,mmw,Emae,FALSE,168.399,-17.052,Papunesia,Pacific,shifting,Austronesian,NA
emai1241,ema,Emai-Iuleha-Ora,FALSE,5.84494,7.09089,Africa,Africa,not endangered,Atlantic-Congo,Schaefer and Egbokhare 2017
emer1243,eme,Emerillon,FALSE,-52.3699,3.23694,South America,Americas,shifting,Tupian,NA
enap1235,pbh,Panare,FALSE,-65.8483,6.95035,South America,Americas,threatened,Cariban,NA
enga1252,enq,Enga,FALSE,143.685,-5.45619,Papunesia,Pacific,not endangered,Nuclear Trans New Guinea,Lang 1975
enge1239,enn,Engenni,TRUE,6.37339,5.11931,Africa,Africa,not endangered,Atlantic-Congo,NA
epen1239,sja,Epena,FALSE,-77.3566,4.25877,South America,Americas,threatened,Chocoan,Harms 1994
epig1241,emy,Epigraphic Mayan,TRUE,NA,NA,North America,NA,extinct,Mayan,Mora-Marín 2001
ersu1241,ers,Ersu,TRUE,102.213,29.2867,Eurasia,Asia,shifting,Sino-Tibetan,NA
erzy1239,myv,Erzya,FALSE,45.3901,52.8548,Eurasia,Europe,shifting,Uralic,NA
esan1238,ish,Esan,FALSE,6.33917,6.25685,Africa,Africa,not endangered,Atlantic-Congo,NA
esee1247,mcq,Ese,FALSE,148.376,-9.09451,Papunesia,Pacific,not endangered,Koiarian,Parlier 1970
esim1238,ags,Esimbi,FALSE,9.86936,6.50094,Africa,Africa,not endangered,Atlantic-Congo,NA
esse1238,esq,Esselen,FALSE,-121.867,36.5473,North America,Americas,extinct,NA,Shaul 1995
esto1258,ekk,Estonian,FALSE,25.82,58.55,Eurasia,NA,not endangered,Uralic,Ets 1992
eton1253,eto,Eton-Mengisa,FALSE,11.3935,4.21045,Africa,Africa,not endangered,Atlantic-Congo,NA
etru1241,ett,Etruscan,FALSE,12.4833,41.9,Eurasia,NA,extinct,NA,Rix 2008
eude1234,unknow,Eudeve,FALSE,-110,28.5,North America,NA,extinct,Uto-Aztecan,Shaul 1991
even1259,evn,Evenki,TRUE,108.626,53.85,Eurasia,Asia,shifting,Tungusic,NA
even1260,eve,Even,FALSE,130.914,70.6687,Eurasia,Asia,moribund,Tungusic,NA
ewag1241,nou,Ewage-Notu,FALSE,148.405,-8.68756,Papunesia,Pacific,not endangered,Nuclear Trans New Guinea,Parrington and Parrington no date
ewee1241,ewe,Ewe,FALSE,0.814975,6.46061,Africa,Africa,not endangered,Atlantic-Congo,NA
ewon1239,ewo,Ewondo,FALSE,11.93646,4.21141,Africa,Africa,not endangered,Atlantic-Congo,NA
eyak1241,eya,Eyak,FALSE,-144.762,60.4232,North America,Americas,extinct,Athabaskan-Eyak-Tlingit,Krauss 2015
fada1250,fab,Annobonese,FALSE,5.61879,-1.43033,Africa,Africa,not endangered,Indo-European,Post 2013
faet1240,unknow,Faeto and Celle San Vito Francoprovencal,FALSE,NA,NA,Eurasia,NA,shifting,Indo-European,Nagy 2000
fait1240,faj,Kulsab,FALSE,145.298,-5.59947,Papunesia,Pacific,nearly extinct,Nuclear Trans New Guinea,Daniels 2015
faiw1243,fai,Faiwol,FALSE,141.656,-5.4967,Papunesia,Pacific,shifting,Nuclear Trans New Guinea,Mecklenburg and Mecklenburg 1977
fala1243,cfm,Falam Chin,TRUE,92.3254633333,23.7892833333,Eurasia,Asia,threatened,Sino-Tibetan,NA
fali1291,xfa,Faliscan,FALSE,NA,NA,Eurasia,NA,extinct,Indo-European,Bakkum 2009
fare1241,gur,Farefare,FALSE,-0.81109,11.0918,Africa,Africa,not endangered,Atlantic-Congo,Atintono 2013
fare1244,unknow,Vach-Vasjugan,FALSE,NA,NA,Eurasia,NA,nearly extinct,Uralic,Filchenko 2010
faro1244,fao,Faroese,FALSE,-6.88497,62.0732,Eurasia,Europe,threatened,Indo-European,NA
fass1245,fqs,Momu-Fas,FALSE,141.64,-3.10868,Papunesia,Pacific,shifting,Baibai-Fas,NA
fasu1242,faa,Fasu,FALSE,143.284,-6.62687,Papunesia,Pacific,shifting,NA,Loeweke and May 1966
fefe1239,fmp,Fe'fe',FALSE,10.1442,5.18158,Africa,Africa,not endangered,Atlantic-Congo,NA
fern1234,fpe,Pichi,FALSE,8.78,3.74,Africa,Africa,not endangered,Indo-European,Yakpo 2019
fiji1242,hif,Fiji Hindi,TRUE,177.772,-17.8148,Papunesia,Pacific,not endangered,Indo-European,Siegel 1988
fiji1243,fij,Fijian,TRUE,178.33,-18,Papunesia,Pacific,not endangered,Austronesian,NA
fili1244,fil,Filipino,FALSE,123.464,12.265,Papunesia,Asia,not endangered,Austronesian,Castle and McGonnell 2010
filo1235,tlp,Filomena Mata Totonac,TRUE,-97.5931,20.1415,North America,Americas,not endangered,Totonacan,McFarland 2009
fina1242,bkb,Finallig,FALSE,121.11,17.0319,Papunesia,Asia,NA,Austronesian,Fukuda 1997
finn1318,fin,Finnish,FALSE,25.5577,64.7628,Eurasia,Europe,not endangered,Uralic,NA
foii1241,foi,Foi,FALSE,143.495,-6.47258,Papunesia,Pacific,not endangered,East Kutubu,Rule 1993
folo1238,ppo,Folopa,TRUE,144.458,-6.86321,Papunesia,Pacific,not endangered,Teberan,NA
fonn1241,fon,Fon,FALSE,1.66495,7.15484,Africa,Africa,not endangered,Atlantic-Congo,NA
food1238,fod,Foodo,FALSE,1.40486,9.56489,Africa,Africa,not endangered,Atlantic-Congo,NA
ford1242,frd,Fordata,FALSE,131.511,-7.28902,Papunesia,Asia,threatened,Austronesian,NA
fore1265,enf,Forest Enets,FALSE,88.2121,69.9829,Eurasia,Asia,moribund,Uralic,NA
fore1270,for,Fore,FALSE,145.5065,-6.64473,Papunesia,Pacific,not endangered,Nuclear Trans New Guinea,NA
fore1274,unknow,Forest Nenets,FALSE,71.97,63.72,Eurasia,NA,shifting,Uralic,Sammallahti 1974
friu1240,fur,Friulian,FALSE,13.0493,46.1473,Eurasia,Europe,threatened,Indo-European,NA
fuli1240,flr,Fuliiru,FALSE,28.9865,-3.04022,Africa,Africa,not endangered,Atlantic-Congo,NA
fuln1247,fun,Fulniô,FALSE,-37.1402,-9.02591,South America,Americas,shifting,NA,NA
furr1244,fvr,Fur,FALSE,23.6401,12.0455,Africa,Africa,not endangered,Furan,NA
futu1245,fut,Futuna-Aniwa,FALSE,170.215,-19.5303,Papunesia,Pacific,not endangered,Austronesian,NA
fuyu1242,fuy,Fuyug,FALSE,147.312,-8.6371,Papunesia,Pacific,not endangered,Goilalan,Bradshaw 2007
fwee1238,fwe,Fwe,FALSE,24.43151,-17.72372,Africa,Africa,not endangered,Atlantic-Congo,Gunnink 2018
fyam1238,pym,Fyam,FALSE,9.22293,9.59006,Africa,Africa,shifting,Atlantic-Congo,NA
gaaa1244,gaa,Ga,FALSE,-0.18598,5.65488,Africa,Africa,not endangered,Atlantic-Congo,Campbell 2017
gaaa1245,ttb,Gaa,FALSE,11.9603,8.4809,Africa,Africa,shifting,Atlantic-Congo,Boyd 1999
gaam1241,tbi,Gaam,FALSE,33.9797,11.4674,Africa,Africa,not endangered,Eastern Jebel,NA
gaan1243,gqa,Ga'anda,FALSE,12.6479,10.2955,Africa,Africa,not endangered,Afro-Asiatic,NA
gada1258,gdg,Ga'dang,FALSE,121.455,17.2238,Papunesia,Asia,not endangered,Austronesian,NA
gade1236,gda,Gade Lohar,FALSE,78.2187,25.8583,Eurasia,Asia,not endangered,Indo-European,NA
gade1242,ged,Gade,FALSE,7.49869,8.71139,Africa,Africa,not endangered,Atlantic-Congo,Sterk 1994
gads1258,gaj,Gadsup,FALSE,145.997,-6.31631,Papunesia,Pacific,not endangered,Nuclear Trans New Guinea,NA
gafa1240,gft,Gafat,FALSE,39.5605,11.5764,Africa,Africa,extinct,Afro-Asiatic,Leslau 1945
gaga1249,gag,Gagauz,FALSE,28.0277,44.5988,Eurasia,Europe,threatened,Turkic,NA
gaga1251,gbu,Gaagudju,FALSE,132.643,-12.5176,Australia,Pacific,extinct,NA,Harvey 2002
gagu1242,ggu,Gban,TRUE,-5.51851,6.40859,Africa,Africa,not endangered,Mande,NA
gahr1239,bfu,Bunan,FALSE,77.9596,32.2168,Eurasia,Asia,shifting,Sino-Tibetan,NA
gale1259,gbi,Galela,FALSE,128.44,2.31461,Papunesia,Asia,not endangered,North Halmahera,"Ipol, Shelden, Shelden and Etha 1989"
gali1261,gce,Galice,FALSE,-120.75,45.3914,North America,Americas,extinct,Athabaskan-Eyak-Tlingit,Hoijer 1966
gali1262,car,Galibi Carib,FALSE,-56.8323,5.83772,South America,Americas,shifting,Cariban,NA
galo1242,adl,Galo,TRUE,94.6884956,27.9805586,Eurasia,Asia,threatened,Sino-Tibetan,Post 2007
galo1243,gal,Galoli-Talur,FALSE,125.959,-8.61074,Papunesia,Asia,threatened,Austronesian,NA
gamb1252,wof,Gambian Wolof,FALSE,-16.1544,13.5337,Africa,Africa,not endangered,Atlantic-Congo,Gambia 1995
gami1243,kld,Yuwaalaraay-Gamilaraay,FALSE,149.543,-29.9037,Australia,Pacific,nearly extinct,Pama-Nyungan,NA
gamo1243,gmv,Gamo,FALSE,37.23808,6.27645,Africa,NA,not endangered,Ta-Ne-Omotic,Gonderie 2016
gana1268,ihw,Birrdhawal,FALSE,148.93,-37.05,Australia,NA,extinct,Pama-Nyungan,Mathews 1907
gana1274,gnk,//Gana,FALSE,22.2003,-21.8555,Africa,Africa,shifting,Khoe-Kwadi,Nakagawa 2013
gana1278,unn,Ganai,FALSE,NA,NA,Australia,NA,extinct,Pama-Nyungan,Fesl 1985
ganc1239,gan,Gan Chinese,TRUE,115.166,27.9896,Eurasia,Asia,not endangered,Sino-Tibetan,NA
gand1255,lug,Ganda,FALSE,32.15153,0.66884,Africa,Africa,not endangered,Atlantic-Congo,NA
gang1266,gnb,Gangte,TRUE,94.1681,24.5113,Eurasia,Asia,threatened,Sino-Tibetan,Haokip 2009
gang1267,gcd,Ganggalida,FALSE,139.426,-17.5446,Australia,Pacific,nearly extinct,Tangkic,Keen 1983
gang1272,unknow,Gangou,TRUE,NA,NA,Eurasia,NA,moribund,Sino-Tibetan,"Zhu, Chuluu, Slater and Stuart 1997"
gant1244,gao,Gants,FALSE,144.771,-5.28113,Papunesia,Pacific,not endangered,Nuclear Trans New Guinea,Daniels 2015
gapa1238,pwg,Gapapaiwa,FALSE,149.854,-9.73317,Papunesia,Pacific,not endangered,Austronesian,NA
gara1269,wrk,Garrwa,FALSE,137.72014,-17.4504,Australia,NA,moribund,Garrwan,Mushin 2012
garh1243,gbm,Garhwali,FALSE,78.7201,30.5061,Eurasia,Asia,threatened,Indo-European,NA
gari1253,ilg,Garig-Ilgar,FALSE,132.182,-11.412,Australia,Pacific,nearly extinct,Iwaidjan Proper,Birch 2010
gari1256,cab,Garifuna,FALSE,-86.9091,15.3529,North America,Americas,not endangered,Arawakan,Haurholm-Larsen 2016
garo1247,grt,Garo,TRUE,90.462,25.2954,Eurasia,Asia,threatened,Sino-Tibetan,Burling 1961
gata1239,gaq,Gata',FALSE,82.984,18.6076,Eurasia,Asia,shifting,Austroasiatic,NA
gavi1246,gvo,Gavião Do Jiparaná,FALSE,-61.6752,-10.7235,South America,Americas,shifting,Tupian,NA
gawa1247,gwt,Gawar-Bati,FALSE,71.5428,35.1982,Eurasia,Asia,threatened,Indo-European,NA
gaww1239,gwd,Ale-Gawwada,FALSE,37.2737,5.37869,Africa,Africa,not endangered,Afro-Asiatic,NA
gayo1244,gay,Gayo,FALSE,97.3456,4.3733,Papunesia,Asia,threatened,Austronesian,NA
gazi1243,gzi,Gazi,FALSE,49.4553,34.0357,Eurasia,Asia,shifting,Indo-European,Borjian 2019
gbag1258,gbr,Gbagyi,FALSE,6.90495,9.29842,Africa,Africa,not endangered,Atlantic-Congo,Hyman and Magaji 1970
gbar1246,gby,Gbari,FALSE,7.10757,8.46411,Africa,Africa,not endangered,Atlantic-Congo,NA
gbay1281,gmm,Gbaya-Mbodomo,FALSE,14.606865,4.800365,Africa,Africa,not endangered,Atlantic-Congo,Boyd 1997
gbay1287,gbp,Gbaya-Bossangoa,FALSE,17.645,6.61896,Africa,Africa,not endangered,Atlantic-Congo,NA
geba1237,kvq,Geba Karen,TRUE,96.9492,19.4991,Eurasia,Asia,not endangered,Sino-Tibetan,NA
geda1237,gdd,Gedaged,FALSE,145.781,-5.18175,Papunesia,Pacific,not endangered,Austronesian,Dempwolff no date
gede1246,drs,Gedeo,FALSE,38.2395,6.18469,Africa,Africa,not endangered,Afro-Asiatic,NA
geez1241,gez,Geez,FALSE,40.6821,10.1342,Africa,Africa,extinct,Afro-Asiatic,Butts 2019
gela1263,nlg,Gela,FALSE,160.186,-9.04587,Papunesia,Pacific,not endangered,Austronesian,Codrington 1885
gela1264,giu,Gelao Mulao,TRUE,107.239537,26.574605,Eurasia,NA,nearly extinct,Tai-Kadai,NA
genn1243,gej,Gen,FALSE,1.67727,6.25971,Africa,Africa,not endangered,Atlantic-Congo,NA
gese1240,ges,Geser-Gorom,FALSE,130.701,-3.8016,Papunesia,Asia,not endangered,Austronesian,NA
ghad1239,gha,Ghadames,FALSE,10.0165,30.1168,Africa,Africa,shifting,Afro-Asiatic,NA
ghan1242,ghn,Ghanongga,FALSE,156.552,-8.02035,Papunesia,Pacific,not endangered,Austronesian,Chambers 2009
ghan1244,gpe,Ghanaian Pidgin English,FALSE,-0.283641,5.793241,Africa,NA,not endangered,Indo-European,Huber 2013
ghar1239,gri,Ghari,FALSE,159.917,-9.4791,Papunesia,Pacific,not endangered,Austronesian,Ivens 1934
ghod1238,gdo,Godoberi,FALSE,46.2252,42.7428,Eurasia,Europe,shifting,Nakh-Daghestanian,NA
ghom1257,gho,Ghomara,FALSE,-4.6696,34.7979,Africa,Africa,shifting,Afro-Asiatic,NA
ghul1238,ghl,Uncunwee,FALSE,29.8122,11.6432,Africa,Africa,shifting,Nubian,NA
gida1247,gid,Gidar,FALSE,14.07845,9.874715,Africa,Africa,not endangered,Afro-Asiatic,NA
gila1241,glk,Gilaki,TRUE,49.8359,37.1344,Eurasia,Asia,not endangered,Indo-European,Stilo 2018
gilb1244,gil,Gilbertese,TRUE,176.44,-1.34,Papunesia,Pacific,not endangered,Austronesian,NA
gily1242,niv,Nivkh,TRUE,140.681,52.59,Eurasia,Asia,moribund,NA,NA
gimi1243,gim,Gimi (Eastern Highlands),FALSE,145.214,-6.42097,Papunesia,Pacific,not endangered,Nuclear Trans New Guinea,Haiman 1980
gira1247,bbr,Girawa,FALSE,145.423,-5.35342,Papunesia,Pacific,not endangered,Nuclear Trans New Guinea,NA
giri1245,unknow,Girirra,TRUE,42.17,5.76,Africa,NA,not endangered,Afro-Asiatic,Mekonnen 2015
giry1241,nyf,Giryama,FALSE,39.6648,-3.30638,Africa,Africa,not endangered,Atlantic-Congo,NA
gito1238,toh,Gitonga,FALSE,35.1577,-23.7964,Africa,Africa,not endangered,Atlantic-Congo,NA
gitx1241,git,Gitxsan,FALSE,-128.08,55.09,North America,Americas,moribund,Tsimshian,NA
glav1244,glw,Glavda,FALSE,13.8652,11.1334,Africa,Africa,not endangered,Afro-Asiatic,NA
goan1235,gom,Goan Konkani,FALSE,74.2098,15.2732,Eurasia,Asia,not endangered,Indo-European,Bhide 1982
godi1239,god,Godié,FALSE,-5.82696,5.3944,Africa,Africa,not endangered,Atlantic-Congo,NA
godw1241,gdx,Godwari,FALSE,72.846,24.885,Eurasia,Asia,threatened,Indo-European,Baldota 1982
goem1240,ank,Goemai,FALSE,9.72453,8.74455,Africa,Africa,threatened,Afro-Asiatic,Hellwig 2011
gofa1235,gof,Gofa,FALSE,37.05,6.57645,Africa,NA,not endangered,Ta-Ne-Omotic,Cheru 2015
gogo1263,gog,Gogo,FALSE,35.4807,-6.35951,Africa,Africa,not endangered,Atlantic-Congo,NA
goli1247,gvf,Golin,FALSE,144.8505,-6.2249,Papunesia,Pacific,not endangered,Nuclear Trans New Guinea,NA
gonj1241,gjn,Gonja,FALSE,-0.72757,8.48801,Africa,Africa,not endangered,Atlantic-Congo,NA
goon1238,gni,Gooniyandi,FALSE,126.351,-18.4073,Australia,Pacific,moribund,Bunaban,McGregor 1984
goro1270,gow,Gorowa,FALSE,35.7996,-4.23575,Africa,Africa,not endangered,Afro-Asiatic,Harvey 2018
goth1244,got,Gothic,FALSE,29.9786,46.9304,Eurasia,NA,extinct,Indo-European,Jasanoff 2008
gour1243,gux,Gourmanchéma,FALSE,1.28489,11.6711,Africa,Africa,not endangered,Atlantic-Congo,NA
goza1238,goz,Gozarkhani,FALSE,50.6987,36.4133,Eurasia,Asia,shifting,Indo-European,Ivanow 1931
gras1249,kbk,Grass Koiari,FALSE,147.437,-9.51218,Papunesia,Pacific,shifting,Koiarian,Dutton 2003
gree1278,giq,Hagei Gelao,TRUE,104.698,22.5632,Eurasia,Asia,moribund,Tai-Kadai,NA
gren1247,gcl,Grenadian Creole English,FALSE,-61.6989,12.0067,North America,Americas,not endangered,Indo-European,Kephart 2000
guad1242,gcf,Guadeloupean Creole French,FALSE,-61.405914,16.304875,North America,Americas,not endangered,Indo-European,Colot and Ludwig 2013
guah1255,guh,Guahibo,FALSE,-68.9839,5.81736,South America,Americas,threatened,Guahiboan,NA
guai1237,unknow,Guaicurian,FALSE,-110.3,24.1666666667,North America,NA,extinct,NA,Zamponi 2004
guan1269,gvc,Kotiria,FALSE,-69.5705,1.07554,South America,Americas,shifting,Tucanoan,Stenzel 2004
guar1293,gae,Baniva de Maroa,TRUE,-66.922505,1.80835,South America,Americas,shifting,Arawakan,Aikhenvald 1998
guat1253,gta,Guató,FALSE,-57.2897,-17.8696,South America,Americas,nearly extinct,NA,NA
gube1234,unknow,Gubeeher-Gufangor-Gubelor,FALSE,-17.19,12.56,Africa,NA,shifting,Atlantic-Congo,Cobbinah 2013
gude1246,gde,Gude,FALSE,13.403,10.2138,Africa,Africa,not endangered,Afro-Asiatic,NA
guer1241,ngu,Central Guerrero Nahuatl,TRUE,-99.0023,17.8583,North America,Americas,not endangered,Uto-Aztecan,NA
guer1243,amu,Guerrero Amuzgo,FALSE,-98.18953,16.77226,North America,Americas,threatened,Otomanguean,Hart 1957
gugu1253,gdc,Gugu Badhun,FALSE,144.46,-18.4921,Australia,Pacific,nearly extinct,Pama-Nyungan,Sutton 1973
gugu1255,kky,Guugu Yimidhirr,FALSE,144.831,-14.9424,Australia,Pacific,moribund,Pama-Nyungan,Haviland 1979
guhu1244,ghs,Guhu-Samane,FALSE,147.228,-7.99922,Papunesia,Pacific,not endangered,Nuclear Trans New Guinea,NA
guia1246,gcr,Guianese Creole French,FALSE,-52.7336,4.94804,South America,Americas,not endangered,Indo-European,Jennings and Pfänder 2018
guib1244,zgn,Guibian Zhuang,TRUE,107.184,23.6818,Eurasia,Asia,not endangered,Tai-Kadai,NA
guib1245,zgb,Guibei Zhuang,TRUE,107.184,23.6818,Eurasia,Asia,not endangered,Tai-Kadai,NA
guiq1238,gqi,Guiqiong,TRUE,102.128,30.4803,Eurasia,Asia,shifting,Sino-Tibetan,NA
guja1252,guj,Gujarati,FALSE,71.0962,22.687,Eurasia,Asia,not endangered,Indo-European,Modi 2011
guja1253,gju,Gujari,FALSE,73.1461,34.3768,Eurasia,Asia,not endangered,Indo-European,NA
gulf1241,afb,Gulf Arabic,FALSE,47.5,30.17,Eurasia,Asia,not endangered,Afro-Asiatic,Al-Bahri 2014
gulf1242,unknow,Gulf Coast French,FALSE,NA,NA,North America,NA,NA,Indo-European,Moreton 2001
gull1241,gul,Sea Island Creole English,FALSE,-79.6036,33.6632,North America,Americas,not endangered,Indo-European,Klein 2013
guma1254,gvs,Gumawana,TRUE,150.762,-9.28497,Papunesia,Pacific,not endangered,Austronesian,Olson 1992
gumu1244,guk,Northern Gumuz,FALSE,35.93,11.05,Africa,Africa,not endangered,Gumuz,NA
gunn1250,guw,Gun,FALSE,2.76767,6.48529,Africa,Africa,not endangered,Atlantic-Congo,Aboh 1999
gunw1252,gup,Bininj Kun-Wok,FALSE,133.358,-12.3398,Australia,Pacific,shifting,Gunwinyguan,NA
gupa1247,guf,Gupapuyngu,FALSE,135.337,-12.2868,Australia,Pacific,shifting,Pama-Nyungan,NA
gura1251,hac,Gurani,FALSE,44.4956,36.8377,Eurasia,Asia,threatened,Indo-European,NA
gura1252,gge,Guragone,FALSE,134.09501,-12.66855,Australia,Pacific,nearly extinct,Maningrida,Green 1995
gurd1238,gdj,Gurdjar,FALSE,141.145,-17.1653,Australia,Pacific,nearly extinct,Pama-Nyungan,Black 1986
gure1255,gnr,Gureng Gureng,FALSE,151.175,-25.3893,Australia,Pacific,nearly extinct,Pama-Nyungan,Brasch 1975
guri1247,gue,Gurindji,FALSE,130.379,-17.0329,Australia,Pacific,shifting,Pama-Nyungan,NA
guru1261,gvr,Gurung,TRUE,86.28988,27.41687,NA,Asia,shifting,Sino-Tibetan,Glover and Gurung 1979
guru1271,grd,Guruntum-Mbaaru,FALSE,10.162,9.87332,Africa,Africa,threatened,Afro-Asiatic,NA
gusi1247,guz,Gusii,FALSE,34.76751,-0.78872,Africa,Africa,not endangered,Atlantic-Congo,NA
gwen1239,gwe,Gweno,FALSE,37.6827,-3.68407,Africa,Africa,shifting,Atlantic-Congo,NA
gwic1235,gwi,Gwich'in,FALSE,-142.963,67.4307,North America,Americas,moribund,Athabaskan-Eyak-Tlingit,Mueller 1971
haaa1252,haq,Ha,FALSE,30.4894,-3.77873,Africa,Africa,not endangered,Atlantic-Congo,NA
hadi1240,hdy,Hadiyya,FALSE,37.7577,7.57377,Africa,Africa,not endangered,Afro-Asiatic,NA
hado1235,hoj,Hadothi,FALSE,75.8366,24.8546,Eurasia,Asia,not endangered,Indo-European,Dwivedi 2012
hadr1236,ayh,Hadrami Arabic,FALSE,48.6524,15.4468,Eurasia,Asia,not endangered,Afro-Asiatic,Al-Saqqaf 1999
hadz1240,hts,Hadza,FALSE,35.0458,-3.83115,Africa,Africa,shifting,NA,NA
hait1244,hat,Haitian,FALSE,-72.136115,18.795135,North America,Americas,not endangered,Indo-European,Syea 2017
haka1240,cnh,Haka Chin,TRUE,92.8208,22.8735,Eurasia,Asia,shifting,Sino-Tibetan,NA
hakk1236,hak,Hakka Chinese,TRUE,116,25,Eurasia,Asia,not endangered,Sino-Tibetan,Henne 1967
hala1252,hal,Halang,FALSE,107.457,14.7862,Eurasia,Asia,threatened,Austroasiatic,NA
halb1244,hlb,Halbi,TRUE,81.3742,20.3081,Eurasia,Asia,not endangered,Indo-European,Singh 1972
