ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Continent
anti1245,Antigua and Barbuda Creole English,,17.068263,-61.821863,anti1245,aig,Americas
anua1242,Anuak,,7.57714,34.0267,anua1242,anu,Africa
anuf1239,Anufo,,10.2839,0.56021,anuf1239,cko,Africa
anut1237,Anuta,,-11.61,169.85,anut1237,aud,Pacific
anuu1241,Anu,,23.3394,98.5945,anuu1241,anl,Asia
aona1235,Ao Naga,,26.3241,94.3824,aona1235,njo,Asia
aoua1234,A'ou,,26.8,105.85,aoua1234,aou,NA
apal1237,Apalachee,,NA,NA,apal1237,xap,NA
apal1257,Apalaí,,1.49792,-54.7457,apal1257,apy,Americas
apat1240,Apatani,,27.1933,93.7284,apat1240,apt,Asia
apin1244,Apinayé,,-6.10774,-47.6315,apin1244,apn,Americas
apma1240,Apma,,-15.8559,168.189,apma1240,app,Pacific
apma1241,Ap Ma,,-4.35147,144.085,apma1241,kbx,Pacific
apur1254,Apurinã,,-8.21692,-66.7714,apur1254,apu,Americas
arak1252,Araki,,-15.632997,166.952542,arak1252,akr,Pacific
aram1253,Arammba,,-8.29593,141.445,aram1253,stk,Pacific
arao1248,Araona,,-12.4242,-67.7293,arao1248,aro,Americas
arap1274,Arapaho,,43.3879,-108.81,arap1274,arp,Americas
araw1276,Lokono,,5.64295,-56.9243,araw1276,arw,Americas
arbo1245,Arbore,,4.92183,36.7986,arbo1245,arv,Africa
arch1244,Archi,,42.3239,46.8267,arch1244,aqc,Europe
area1240,'Are'are,,-9.20699,161.158,area1240,alu,Pacific
aree1239,Are,,-9.67147,149.999,aree1239,mwc,Pacific
areq1237,Arequipa-La Unión Quechua,,-15.1806,-72.6333,areq1237,qxu,Americas
argo1244,Argobba,,10.6596,39.756,argo1244,agj,Africa
arhu1242,Arhuaco,,10.7018,-73.6363,arhu1242,arh,Americas
arib1241,Aribwatsa,,-6.72266,146.991,arib1241,laz,Pacific
arif1239,Arifama-Miniafia,,-9.15565,149.246,arif1239,aai,Pacific
arig1246,Arigidi,,7.56324,5.89556,arig1246,aqg,Africa
arik1262,Arikara,,40.6473,-98.7158,arik1262,ari,Americas
ariz1237,Arizona Tewa,,35.836667,-110.381389,ariz1237,NA,NA
arop1242,Arop-Sissano,,-3.06984,142.12,arop1242,aps,Pacific
arop1243,Arop-Lokep,,-5.31671,147.103,arop1243,apr,Pacific
aros1241,Arosi,,-10.2441,161.432,aros1241,aia,Pacific
arta1239,Arta,,16.4185,121.656,arta1239,atz,Asia
ashe1272,Ashéninka Perené,,-10.9777,-74.9153,ashe1272,prq,Americas
ashk1246,Ashkun,,34.84277,70.37453,ashk1246,ask,Asia
asho1236,Asho Chin,,21.393,93.5069,asho1236,csh,Asia
assa1263,Assamese,,26.0876,91.2932,assa1263,asm,Asia
assi1247,Assiniboine,,49.2923,-106.068,assi1247,asb,Americas
assy1241,Assyrian Neo-Aramaic,,36.75,43,assy1241,aii,Asia
asur1254,Asuri,,21.5721,83.4562,asur1254,asr,Asia
asut1235,Asu (Tanzania),,-4.17978,37.8323,asut1235,asa,Africa
atak1252,Atakapa,,30.9121,-93.0827,atak1252,aqp,Americas
atam1240,Ata Manobo,,7.7789,125.499,atam1240,atd,Asia
atay1247,Atayal,,24.5209,121.388,atay1247,tay,Asia
atem1241,Mand,,-5.08137,144.806,atem1241,ate,Pacific
athp1241,Athpariya,,26.8794,87.3296,athp1241,aph,Asia
atii1237,Ati,,11.1539,122.512,atii1237,atk,Asia
atik1240,Atikamekw,,47.9555,-73.7989,atik1240,atj,Americas
aton1241,Atong (India),,25.346508,90.658722,aton1241,aot,Asia
atsu1245,Atsugewi,,40.4271,-120.661,atsu1245,atw,Americas
atzi1235,Atzingo Matlatzinca,,19.3871,-99.9239,atzi1235,ocu,Americas
auuu1241,Au,,-3.53277,142.105,auuu1241,avt,Pacific
avat1244,Avatime,,6.8688,0.41314,avat1244,avn,Africa
aves1237,Avestan,,31.541,53.633,aves1237,ave,Asia
avok1242,Avokaya,,4.38639,29.9379,avok1242,avu,Africa
awab1243,Awabakal,,-33.12847,151.43555,awab1243,awk,Pacific
awac1238,Ximeng-Menglian Awa,,22.75,99.4833,awac1238,vwa,Asia
awac1239,Awa-Cuaiquer,,1.21652,-78.3401,awac1239,kwi,Americas
awad1243,Awadhi,,27.5907,82.4663,awad1243,awa,Asia
awad1244,Awad Bing,,-5.59896,146.355,awad1244,bcu,Pacific
awap1236,Awa (Papua New Guinea),,-6.65534,145.714,awap1236,awb,Pacific
awar1248,Awara,,-6.16986,146.372,awar1248,awx,Pacific
awar1249,Awar,,-4.13554,144.836,awar1249,aya,Pacific
awet1244,Awetí,,-12.381944,-53.391944,awet1244,awe,Americas
awiy1238,Awiyaana,,-6.54079,145.76,awiy1238,auy,Pacific
awji1241,Awjilah-Foqaha,,29.2341,21.1819,awji1241,auj,Africa
awng1244,Awngi,,10.9819,36.6916,awng1244,awn,Africa
awtu1239,Awtuw,,-3.53129,141.928,awtu1239,kmn,Pacific
awut1241,Awutu,,5.42441,-0.59545,awut1241,afu,Africa
axiy1235,Axi Yi,,24.6009,103.713,axiy1235,yix,Asia
ayab1239,Yintyinka-Ayabadhu,,-14.6652,142.893,ayab1239,ayd,Pacific
ayac1239,Ayacucho Quechua,,-13.84714,-74.32246,ayac1239,quy,Americas
ayor1240,Ayoreo,,-19.220055,-60.217495,ayor1240,ayo,Americas
ayut1236,Ayutla Mixtec,,16.8833,-98.9916,ayut1236,miy,Americas
azhe1235,Azhe,,24.405,103.441,azhe1235,yiz,Asia
baat1238,Baatonum,,9.63186,2.99607,baat1238,bba,Africa
baba1264,Baba,,6.11222,10.5216,baba1264,bbw,Africa
baba1266,Babanki,,5.97863,10.2869,baba1266,bbk,Africa
baba1267,Baba Malay,,1.75414,103.076,baba1267,mbf,Asia
baba1268,Babatana,,-7.22281,157.149,baba1268,baa,Pacific
babi1235,Babine,,55.0997,-126.41,babi1235,bcr,Americas
babu1240,Babuza,,24.0017,120.585,babu1240,bzg,Asia
bact1239,Bactrian,,NA,NA,bact1239,xbc,NA
bada1257,Badaga,,11.3094,76.5974,bada1257,bfq,Asia
bade1248,Bade,,12.789,10.6557,bade1248,bde,Africa
badi1246,Badimaya,,-29.0647,117.246,badi1246,bia,Pacific
bady1239,Jaad-Badyara,,12.6425,-13.4759,bady1239,pbp,Africa
bafa1247,Bafaw-Balong,,4.53307,9.522,bafa1247,bwt,Africa
bafa1249,Bafanji,,5.84612,10.4518,bafa1249,bfj,Africa
bafi1243,Bafia,,4.72603,11.0982,bafi1243,ksf,Africa
bafu1246,Bafut,,6.14153,10.1194,bafu1246,bfd,Africa
baga1272,Baga Sitemu,,10.4793,-14.4756,baga1272,bsp,Africa
baga1273,Baga Koga,,10.1286,-13.947,baga1273,bgo,Africa
bagi1246,Bagirmi,,11.52392,14.769495,bagi1246,bmi,Africa
bagr1243,Bagri,,28.6036,71.453,bagr1243,bgq,Asia
baha1256,Baha Buyang,,23.0105,104.449,baha1256,yha,Asia
baha1258,Baham,,-3.10628,132.637,baha1258,bdw,Asia
baha1259,Baharna Arabic,,26.223615,50.580811,baha1259,abv,Asia
baha1260,Bahamas Creole English,,25.032149,-77.390587,baha1260,bah,Americas
bahi1252,Bahing,,27.3323,86.3949,bahi1252,bhj,Asia
bahn1262,Bahnar,,14.0476,108.471,bahn1262,bdq,Asia
baik1238,Baikeno,,-9.32991,124.256,baik1238,bkx,Asia
baim1244,Baima,,33.1001,103.952,baim1244,bqh,Asia
bais1246,Baiso,,6.44892,37.7681,bais1246,bsw,Africa
baja1265,Bajan,,13.1365,-59.5346,baja1265,bjs,Americas
baje1238,Bajelani,,33.9498,42.9867,baje1238,bjm,Asia
baka1272,Baka (Cameroon),,2.16013,13.7804,baka1272,bkc,Africa
bakh1245,Bakhtiari,,32.0163,49.7713,bakh1245,bqi,Asia
baki1244,Baki,,-16.7096,168.165,baki1244,bki,Pacific
bako1249,Bakoko,,3.56518,9.99905,bako1249,bkh,Africa
bako1250,Bakole,,4.43654,8.97387,bako1250,kme,Africa
bala1301,Balanta-Kentohe,,11.8203,-15.3221,bala1301,ble,Africa
bala1302,Balanta-Ganja,,12.5382,-15.6658,bala1302,bjt,Africa
bala1310,Balangao,,17.0994,121.272,bala1310,blw,Asia
bala1311,Balangingi,,6.011614,121.686646,bala1311,sse,Asia
bala1315,Balantak,,-0.86809,123.289,bala1315,blz,Asia
bali1278,Balinese,,-8.35714,115.075,bali1278,ban,Asia
balk1252,Balkan Romani,,42.67,21.17,balk1252,rmn,Europe
balt1257,Baltic Romani,,60,38,balt1257,rml,Europe
balt1258,Balti,,34.4491,77.2859,balt1258,bft,Asia
balu1257,Paluai,,-2.5604,147.282,balu1257,blq,Pacific
bamb1262,Bambassi,,9.82554,34.6522,bamb1262,myf,Africa
bamb1265,Bambalang,,5.861,10.544,bamb1265,bmo,Africa
bamb1266,Bambili-Bambui,,6.10821,10.2233,bamb1266,baw,Africa
bamb1269,Bambara,,12.0401,-9.98949,bamb1269,bam,Africa
bamb1270,Bambam,,-3.02759,119.201,bamb1270,ptu,Asia
bamu1253,Bamun,,5.49017,10.8477,bamu1253,bax,Africa
bana1288,Banao Itneg,,17.5643,121.05,bana1288,bjx,Asia
band1340,Bandial,,12.5258,-16.4245,band1340,bqj,Africa
band1352,Bandi,,7.73729,-10.1684,band1352,bza,Africa
bang1339,Banggarla,,-33.3036,136.079,bang1339,bjb,Pacific
bang1354,Bangi,,-0.87437,17.227,bang1354,bni,Africa
bang1363,Bangime,,14.8116,-3.77092,bang1363,dba,Africa
bang1368,Banggai,,-1.58305,123.171,bang1368,bgz,Asia
bani1254,Avane,,5.26123,-67.5633,bani1254,bvv,Americas
bani1255,Baniwa do Icana,,2.17859,-67.7704,bani1255,bwi,Americas
bank1259,Bankan Tey Dogon,,15.06,-2.92,bank1259,dbw,NA
bann1247,Bannoni,,-6.23061,155.128,bann1247,bcm,Pacific
bant1281,Bantawa,,27.12147,87.04738,bant1281,bap,Asia
baou1238,Baoulé,,5.42509,-4.76565,baou1238,bci,Africa
bara1357,Baraamu,,28.3768,85.0584,bara1357,brd,Asia
bara1370,Baram Kayan,,3.51211,114.482,bara1370,kys,Asia
bara1380,Barasana-Eduria,,0.02193,-70.808,bara1380,bsn,Americas
barb1263,Barbareño,,34.462,-119.699,barb1263,boi,Americas
bard1255,Bardi,,-16.6274,122.906,bard1255,bcj,Pacific
bare1276,Baré,,1.91649,-66.828,bare1276,bae,Americas
bare1279,Barain,,11.1168,18.0764,bare1279,bva,Africa
barg1252,Bargam,,-4.8723,145.756,barg1252,mlp,Pacific
bari1284,Bari,,4.19522,31.0723,bari1284,bfa,Africa
bari1286,Bariai,,-5.5087,148.666,bari1286,bch,Pacific
bari1297,Barí,,9.08497,-72.9353,bari1297,mot,Americas
baro1253,Barok,,-3.47672,152.193,baro1253,bjk,Pacific
barr1252,Barranbinya,,-30.1,145.93,barr1252,NA,NA
baru1267,Baruya,,-6.89261,145.818,baru1267,byr,Pacific
baru1269,Baruga,,-9.40132,148.761,baru1269,bjz,Pacific
basa1282,Basa (Nigeria),,8.03159,7.06183,basa1282,bzw,Africa
basa1284,Basa (Cameroon),,3.80765,10.4213,basa1284,bas,Africa
basa1287,Basay,,25.0046,121.857,basa1287,byq,Asia
bash1263,Bashkardi,,32,53,bash1263,bsg,Asia
bash1264,Bashkir,,53.5967,56.5594,bash1264,bak,Europe
bask1236,Basketo,,6.45774,36.5763,bask1236,bst,Africa
basq1248,Basque,,43.2787,-1.31622,basq1248,eus,Europe
bass1258,Bassari-Tanda,,12.4529,-13.3495,bass1258,bsc,Africa
bata1285,Batanga,,1.397041,9.51011,bata1285,bnm,Africa
bata1289,Batak Toba,,2.35498,99.1761,bata1289,bbc,Asia
bata1292,Batak Alas-Kluet,,3.4293,97.8123,bata1292,btz,Asia
bata1293,Batak Karo,,2.12787,98.2517,bata1293,btx,Asia
bath1244,Bathari,,17.4485,53.119,bath1244,bhm,Asia
bats1242,Bats,,42.1806,45.344,bats1242,bbl,Asia
batu1258,Batuley,,-5.814412,134.784314,batu1258,bay,Asia
baur1253,Baure,,-13.1278,-64.1838,baur1253,brg,Americas
bauz1241,Bauzi,,-2.44717,137.629,bauz1241,bvz,Asia
bava1246,Bavarian,,47.9232,13.246,bava1246,bar,Europe
bawm1236,Bawm Chin,,22.4405233333,92.92553,bawm1236,bgr,Asia
bayb1234,Baybayanon,,NA,NA,bayb1234,bvy,NA
bayu1240,Bayungu,,-23.3809,114.108,bayu1240,bxj,Pacific
beav1236,Beaver,,56.7984,-120.352,beav1236,bea,Americas
bebe1248,Bebele,,4.78874,12.824,bebe1248,beb,Africa
befa1241,Befang,,6.27562,10.0342,befa1241,bby,Africa
beja1238,Beja,,17.2436,36.6666,beja1238,bej,Africa
beka1241,Riuk Bekati',,1.3307,109.576,beka1241,bei,Asia
bekw1241,Bekwarra,,6.73737,8.86489,bekw1241,bkv,Africa
bela1254,Belarusian,,53.2307,25.6038,bela1254,bel,Europe
bela1256,Belanda Bor,,6.6503,27.8232,bela1256,bxb,Africa
bela1260,Lemeting,,4.96207,114.933,bela1260,beg,Asia
belh1239,Belhariya,,26.9972,87.2783,belh1239,byw,Asia
beli1257,Beli (Sudan),,6.40428,29.7954,beli1257,blm,Africa
beli1260,Belize Kriol English,,17.3941,-88.6281,beli1260,bzj,Americas
bell1243,Bella Coola,,52.3448,-126.689,bell1243,blc,Americas
bemb1255,Bembe,,-4.49057,29.0507,bemb1255,bmb,Africa
bemb1257,Bemba (Zambia),,-10.6122,29.2993,bemb1257,bem,Africa
bena1262,Bena (Tanzania),,-9.26671,35.0364,bena1262,bez,Africa
bena1264,Benabena,,-6.09974,145.534,bena1264,bef,Pacific
benc1235,Bench,,7.04682,35.7673,benc1235,bcq,Africa
beng1280,Bengali,,24,90,beng1280,ben,Asia
beng1282,Benga,,1.075766,9.600739,beng1282,bng,Africa
beng1286,Beng,,7.78122,-4.23539,beng1286,nhb,Africa
bent1238,Ben Tey Dogon,,14.78,-2.94,bent1238,dbt,NA
bera1262,Berau Malay,,1.6687,117.934,bera1262,bve,Asia
berb1259,Berbice Creole Dutch,,5.3829,-58.0002,berb1259,brc,Americas
beri1254,Berik,,-2.26904,138.866,beri1254,bkl,Asia
bert1248,Berta,,10.6474,34.7042,bert1248,wti,Africa
besi1244,Besisi,,2.717,101.676,besi1244,mhe,Asia
beta1252,Betawi,,-6.21174,107.022,beta1252,bew,Asia
beto1236,Betoi-Jirara,,7.245731,-71.67366,beto1236,NA,NA
bett1235,Betta Kurumba,,11.6385,76.6064,bett1235,xub,Asia
bezh1248,Bezhta,,42.1206,46.0332,bezh1248,kap,Europe
bhad1241,Bhadrawahi,,33.2851,75.8707,bhad1241,bhd,Asia
bhil1251,Bhili,,20.85,73.9592,bhil1251,bhb,Asia
bhoj1244,Bhojpuri,,26.458455,84.817115,bhoj1244,bho,Asia
biaf1240,Biafada,,11.467,-15.1347,biaf1240,bif,Africa
biak1248,Biak,,-0.9523,135.879,biak1248,bhw,Asia
bial1238,Biali,,11.0382,1.08259,bial1238,beh,Africa
bian1252,Biangai,,-7.33882,146.765,bian1252,big,Pacific
biao1253,Shidong Biao,,23.656,113.391,biao1253,byk,Asia
biao1254,Biao-Jiao Mien,,25.5309,111.344,biao1254,bje,Asia
biat1246,Biatah Bidayuh,,1.17596,110.254,biat1246,bth,Asia
bier1244,Bierebo,,-16.6663,168.154,bier1244,bnk,Pacific
bign1238,Big Nambas,,-16.0903,167.239,bign1238,nmb,Pacific
biha1246,Bih,,12.483333,108.016667,biha1246,NA,NA
bila1255,Bila,,1.16839,28.7626,bila1255,bip,Africa
bili1260,Bilin,,15.7833,38.3917,bili1260,byn,Africa
bilo1248,Biloxi,,31.32,-89.1951,bilo1248,bll,Americas
bilu1245,Bilua,,-7.92388,156.663,bilu1245,blb,Pacific
bimi1240,Bimin,,-5.38732,142.04,bimi1240,bhl,Pacific
bimo1239,Bimoba,,10.4575,0.06121,bimo1239,bim,Africa
bina1277,Binandere,,-8.37433,147.884,bina1277,bhg,Pacific
bini1246,Bini,,6.40701,5.70426,bini1246,bin,Africa
bino1237,Binongan Itneg,,17.5972,120.876,bino1237,itb,Asia
bint1246,Bintulu,,3.867,113.634,bint1246,bny,Asia
binu1244,Talaandig-Binukid,,8.15933,124.892,binu1244,bkd,Asia
binu1245,Binumarien,,-6.22068,146.102,binu1245,bjr,Pacific
bira1253,Ongota,,5.29807,37.025,bira1253,bxe,Africa
biri1256,Biri,,-20.1494,146.67,biri1256,bzr,Pacific
birr1240,Birri,,5.3328,27.0842,birr1240,bvq,Africa
bish1244,Bishnupriya Manipuri,,24.4578,92.0157,bish1244,bpy,Asia
bisl1239,Bislama,,-15.4,166.89,bisl1239,bis,Pacific
biss1248,Bissa,,10.4257,-1.67332,biss1248,bib,Africa
bisu1244,Bisu,,20.8542,99.9862,bisu1244,bzi,Asia
biwa1243,Biwat,,-4.39429,143.873,biwa1243,bwm,Pacific
blab1237,Blablanga,,-8.15058,159.419,blab1237,blp,Pacific
blag1240,Blagar,,-8.31787,124.251,blag1240,beu,Asia
blan1242,Blang,,22.0092,99.7405,blan1242,blr,Asia
bobo1255,Bobongko,,-0.36759,121.922,bobo1255,bgb,Asia
bodo1267,Bodo Gadaba,,18.3857,82.771,bodo1267,gbj,Asia
bodo1269,Bodo-Mech,,26.725455,89.333235,bodo1269,brx,Asia
boht1238,Bohtan Neo-Aramaic,,43.6405,44.482,boht1238,bhn,Asia
boka1249,Bokar-Ramo,,28.61433,94.066429,boka1249,NA,NA
boko1266,Boko (Benin),,10.5189,3.71771,boko1266,bqc,Africa
boky1238,Bokyi,,6.10475,9.05875,boky1238,bky,Africa
bola1250,Bola,,-5.55792,150.095,bola1250,bnp,Pacific
boli1255,Bolia,,-1.38362,18.09748,boli1255,bli,Africa
